Datetime,Open,High,Low,Close,Volume
2025-04-07 08:00:00+00:00,162.01,165.89,160.4,164.51,421616.0
2025-04-07 09:00:00+00:00,164.53,165.35,163.04,164.46,173783.0
2025-04-07 10:00:00+00:00,164.52,169.36,164.0,167.45,386603.0
2025-04-07 11:00:00+00:00,167.45,167.99,165.1,166.38,562799.0
2025-04-07 12:00:00+00:00,166.35,177.0,158.88,168.0333,1211863.0
2025-04-07 13:00:00+00:00,168.04,171.58,161.145,171.17,21922656.0
2025-04-07 14:00:00+00:00,171.17,183.4099,161.56,175.7599,25141617.0
2025-04-07 15:00:00+00:00,175.72,176.64,161.56,172.78,11864965.0
2025-04-07 16:00:00+00:00,172.753,173.3598,161.56,170.99,6322237.0
2025-04-07 17:00:00+00:00,170.96,176.84,170.89,176.66,9709636.0
2025-04-07 18:00:00+00:00,176.65,177.22,161.56,174.85,8108848.0
2025-04-07 19:00:00+00:00,174.85,176.41,173.45,175.45,12613685.0
2025-04-07 20:00:00+00:00,175.45,184.3709,164.4786,176.7983,18529201.0
2025-04-07 21:00:00+00:00,176.8,209.9554,125.1767,176.95,323965.0
2025-04-07 22:00:00+00:00,177.0,192.72,171.22,178.425,110813.0
2025-04-07 23:00:00+00:00,178.45,179.2599,178.35,179.01,151005.0
2025-04-08 08:00:00+00:00,179.0,180.59,178.15,179.51,163825.0
2025-04-08 09:00:00+00:00,179.63,179.63,178.18,178.3,76335.0
2025-04-08 10:00:00+00:00,178.21,179.32,177.9,178.8,88363.0
2025-04-08 11:00:00+00:00,178.76,182.07,178.71,181.85,293746.0
2025-04-08 12:00:00+00:00,179.9988,183.01,162.19,182.885,905082.0
2025-04-08 13:00:00+00:00,182.83,186.5,161.965,182.195,15121577.0
2025-04-08 14:00:00+00:00,182.195,184.9099,180.4,180.62,11084680.0
2025-04-08 15:00:00+00:00,180.63,180.965,177.59,178.36,8429570.0
2025-04-08 16:00:00+00:00,178.3696,178.7886,175.02,175.44,8731170.0
2025-04-08 17:00:00+00:00,175.44,176.3,173.4,175.14,8143311.0
2025-04-08 18:00:00+00:00,175.11,175.57,172.69,172.745,6963154.0
2025-04-08 19:00:00+00:00,172.73,172.98,168.57,171.09,17232750.0
2025-04-08 20:00:00+00:00,171.09,183.7083,162.2753,172.47,16468171.0
2025-04-08 21:00:00+00:00,172.35,182.98,170.66,172.0,392271.0
2025-04-08 22:00:00+00:00,172.05,172.1,168.61,169.78,181034.0
2025-04-08 23:00:00+00:00,169.78,177.0,167.02,168.3,144470.0
2025-04-09 08:00:00+00:00,169.85,174.02,168.83,172.6,174716.0
2025-04-09 09:00:00+00:00,172.7,172.98,170.72,171.35,80355.0
2025-04-09 10:00:00+00:00,171.33,172.98,169.87,172.3,152609.0
2025-04-09 11:00:00+00:00,172.2,173.01,166.89,167.75,440217.0
2025-04-09 12:00:00+00:00,171.17,173.87,166.0,170.0545,671204.0
2025-04-09 13:00:00+00:00,170.425,174.3602,170.0,173.81,9602054.0
2025-04-09 14:00:00+00:00,173.8,175.52,171.01,171.04,11932243.0
2025-04-09 15:00:00+00:00,171.04,173.02,170.13,170.505,8288932.0
2025-04-09 16:00:00+00:00,170.49,172.53,169.93,171.9896,5630312.0
2025-04-09 17:00:00+00:00,172.0,186.37,170.16,186.09,23375960.0
2025-04-09 18:00:00+00:00,186.09,189.14,185.3,186.105,16513664.0
2025-04-09 19:00:00+00:00,186.105,192.65,185.43,190.95,21367619.0
2025-04-09 20:00:00+00:00,190.92,205.0475,174.4993,192.2525,29315804.0
2025-04-09 21:00:00+00:00,192.27,203.0387,161.56,191.0,2000980.0
2025-04-09 22:00:00+00:00,191.2,192.98,190.55,192.8,141962.0
2025-04-09 23:00:00+00:00,192.79,193.05,191.1,192.0,134622.0
2025-04-10 08:00:00+00:00,190.0,191.33,185.01,185.45,202721.0
2025-04-10 09:00:00+00:00,185.58,187.23,185.36,186.52,87627.0
2025-04-10 10:00:00+00:00,186.5,187.76,185.85,186.22,123542.0
2025-04-10 11:00:00+00:00,186.32,187.35,186.2,187.0,162486.0
2025-04-10 12:00:00+00:00,188.722,191.47,180.945,186.42,857235.0
2025-04-10 13:00:00+00:00,186.46,186.54,183.7491,184.38,7884168.0
2025-04-10 14:00:00+00:00,184.38,186.8692,182.74,182.815,7600655.0
2025-04-10 15:00:00+00:00,182.815,184.15,179.44,179.495,7211212.0
2025-04-10 16:00:00+00:00,179.48,179.93,175.8518,179.581,9627104.0
2025-04-10 17:00:00+00:00,179.56,182.3533,177.0,181.77,8496656.0
2025-04-10 18:00:00+00:00,181.785,183.2,179.8,181.74,6031635.0
2025-04-10 19:00:00+00:00,181.79,182.97,178.57,181.04,10418822.0
2025-04-10 20:00:00+00:00,181.05,192.9659,170.935,181.075,16050042.0
2025-04-10 21:00:00+00:00,181.075,193.229,172.0,180.47,379057.0
2025-04-10 22:00:00+00:00,180.46,182.22,180.45,181.47,90566.0
2025-04-10 23:00:00+00:00,181.36,184.81,177.125,179.395,147943.0
2025-04-11 08:00:00+00:00,181.47,183.5,179.37,180.1,106051.0
2025-04-11 09:00:00+00:00,180.06,182.73,179.76,182.58,55105.0
2025-04-11 10:00:00+00:00,182.67,183.24,182.1,182.67,64966.0
2025-04-11 11:00:00+00:00,182.7,182.95,180.25,181.3,127807.0
2025-04-11 12:00:00+00:00,182.005,184.4,179.43,180.0,376211.0
2025-04-11 13:00:00+00:00,179.96,192.07,167.475,181.36,5684120.0
2025-04-11 14:00:00+00:00,181.33,182.0,178.0,179.37,7162781.0
2025-04-11 15:00:00+00:00,179.35,181.13,178.2,181.04,4867120.0
2025-04-11 16:00:00+00:00,181.0103,184.04,180.09,183.35,5279029.0
2025-04-11 17:00:00+00:00,183.39,184.75,182.0,184.01,5108895.0
2025-04-11 18:00:00+00:00,184.02,184.3112,183.065,183.48,4259922.0
2025-04-11 19:00:00+00:00,183.46,185.86,183.435,184.79,9528128.0
2025-04-11 20:00:00+00:00,184.8,196.6162,172.615,185.04,13281097.0
2025-04-11 21:00:00+00:00,185.0595,197.6688,178.1297,185.045,95646.0
2025-04-11 22:00:00+00:00,185.0899,185.09,174.99,184.74,35321.0
2025-04-11 23:00:00+00:00,184.74,185.09,184.657,184.98,24316.0
2025-04-14 08:00:00+00:00,187.35,188.3,185.95,187.77,98766.0
2025-04-14 09:00:00+00:00,187.77,188.2,186.65,187.12,64293.0
2025-04-14 10:00:00+00:00,187.14,187.97,187.05,187.94,59728.0
2025-04-14 11:00:00+00:00,187.92,188.44,186.5,186.62,152373.0
2025-04-14 12:00:00+00:00,187.95,188.49,184.8682,187.48,527530.0
2025-04-14 13:00:00+00:00,187.51,188.4,182.62,183.28,9485973.0
2025-04-14 14:00:00+00:00,183.3,185.94,183.08,185.03,6407930.0
2025-04-14 15:00:00+00:00,185.025,185.2887,180.93,181.155,6564592.0
2025-04-14 16:00:00+00:00,181.18,181.5671,179.325,179.335,5454802.0
2025-04-14 17:00:00+00:00,179.35,181.93,179.23,181.7804,4291760.0
2025-04-14 18:00:00+00:00,181.8,182.279,180.02,182.07,3157621.0
2025-04-14 19:00:00+00:00,182.05,183.17,181.55,182.06,6771050.0
2025-04-14 20:00:00+00:00,182.09,185.855,170.3248,181.675,7794484.0
2025-04-14 21:00:00+00:00,181.75,219.025,176.817,181.815,47711.0
2025-04-14 22:00:00+00:00,181.76,181.87,181.01,181.1,35722.0
2025-04-14 23:00:00+00:00,181.2,182.0,181.01,181.01,33438.0
2025-04-15 08:00:00+00:00,182.5,183.47,182.33,182.79,32872.0
2025-04-15 09:00:00+00:00,182.78,182.96,182.46,182.63,14345.0
2025-04-15 10:00:00+00:00,182.53,182.88,182.1,182.39,18515.0
2025-04-15 11:00:00+00:00,182.46,182.6,181.5,181.7,39979.0
2025-04-15 12:00:00+00:00,182.8215,191.1,181.22,181.63,167699.0
2025-04-15 13:00:00+00:00,181.63,182.35,179.5101,181.38,5646109.0
2025-04-15 14:00:00+00:00,181.39,182.05,179.45,180.54,6993775.0
2025-04-15 15:00:00+00:00,180.59,181.53,180.0,180.73,5598896.0
2025-04-15 16:00:00+00:00,180.73,181.63,179.51,179.755,3891587.0
2025-04-15 17:00:00+00:00,179.74,180.09,178.29,178.86,5352334.0
2025-04-15 18:00:00+00:00,178.84,179.54,177.9331,179.425,4353652.0
2025-04-15 19:00:00+00:00,179.41,179.9,178.75,179.58,6130774.0
2025-04-15 20:00:00+00:00,179.58,187.26,179.14,179.3081,8012086.0
2025-04-15 21:00:00+00:00,179.28,185.7489,178.32,178.425,269279.0
2025-04-15 22:00:00+00:00,178.4,178.8,171.93,178.1,122029.0
2025-04-15 23:00:00+00:00,178.05,178.2,177.44,177.67,61870.0
2025-04-16 08:00:00+00:00,177.38,180.49,175.58,178.19,119534.0
2025-04-16 09:00:00+00:00,178.21,178.56,177.8,177.95,45954.0
2025-04-16 10:00:00+00:00,177.88,178.42,177.27,177.65,27259.0
2025-04-16 11:00:00+00:00,177.75,178.0,177.02,177.93,49536.0
2025-04-16 12:00:00+00:00,177.66,180.31,175.69,177.16,230905.0
2025-04-16 13:00:00+00:00,177.3,187.24,175.83,175.84,4738057.0
2025-04-16 14:00:00+00:00,175.8599,177.89,175.59,177.56,5284839.0
2025-04-16 15:00:00+00:00,177.58,179.1046,176.74,176.9,4399020.0
2025-04-16 16:00:00+00:00,176.92,177.27,176.315,176.64,3343831.0
2025-04-16 17:00:00+00:00,176.63,176.88,173.0,173.12,5917521.0
2025-04-16 18:00:00+00:00,173.1,173.7128,172.03,172.11,7567716.0
2025-04-16 19:00:00+00:00,172.12,174.99,171.41,174.39,11412071.0
2025-04-16 20:00:00+00:00,174.41,177.4363,171.9912,174.08,13509935.0
2025-04-16 21:00:00+00:00,174.21,174.69,173.75,174.6165,1325218.0
2025-04-16 22:00:00+00:00,174.55,174.7,174.0,174.45,32970.0
2025-04-16 23:00:00+00:00,174.5,174.5,174.0,174.4,62956.0
2025-04-17 08:00:00+00:00,175.75,177.0,175.69,175.79,32112.0
2025-04-17 09:00:00+00:00,175.68,176.55,175.6,176.54,30294.0
2025-04-17 10:00:00+00:00,176.55,176.77,175.75,175.85,46346.0
2025-04-17 11:00:00+00:00,175.84,176.08,174.81,175.83,63057.0
2025-04-17 12:00:00+00:00,175.77,177.0388,174.33,176.22,311590.0
2025-04-17 13:00:00+00:00,176.22,176.5,172.96,174.82,7076851.0
2025-04-17 14:00:00+00:00,174.81,175.43,172.6,172.91,5372289.0
2025-04-17 15:00:00+00:00,172.93,174.4,172.83,173.44,5285324.0
2025-04-17 16:00:00+00:00,173.44,174.32,172.34,173.45,5081595.0
2025-04-17 17:00:00+00:00,173.44,173.96,172.88,173.445,5020347.0
2025-04-17 18:00:00+00:00,173.455,174.5585,173.13,173.2721,4259811.0
2025-04-17 19:00:00+00:00,173.26,173.47,172.0,172.59,6263655.0
2025-04-17 20:00:00+00:00,172.61,174.29,172.56,173.1,9661246.0
2025-04-17 21:00:00+00:00,173.07,179.7654,166.0316,173.08,58551.0
2025-04-17 22:00:00+00:00,173.0994,173.16,172.9912,173.13,31214.0
2025-04-17 23:00:00+00:00,173.13,173.15,172.61,173.13,234401.0
2025-04-21 08:00:00+00:00,172.5,172.5,170.51,170.9,35692.0
2025-04-21 09:00:00+00:00,170.91,171.13,170.51,171.0,17235.0
2025-04-21 10:00:00+00:00,171.03,171.16,169.69,169.98,107478.0
2025-04-21 11:00:00+00:00,169.98,170.42,169.04,169.33,130134.0
2025-04-21 12:00:00+00:00,170.26,173.214,168.88,169.31,254104.0
2025-04-21 13:00:00+00:00,169.48,174.53,166.95,167.1,7055774.0
2025-04-21 14:00:00+00:00,167.075,167.37,165.85,167.27,7497438.0
2025-04-21 15:00:00+00:00,167.255,167.58,166.11,166.47,5036728.0
2025-04-21 16:00:00+00:00,166.46,167.7,166.32,166.35,3907654.0
