Datetime,Open,High,Low,Close,Volume
2025-04-07 10:00:00-04:00,171.17,183.4099,161.56,175.7599,25141617.0
2025-04-07 11:00:00-04:00,175.72,176.64,161.56,172.78,11864965.0
2025-04-07 12:00:00-04:00,172.753,173.3598,161.56,170.99,6322237.0
2025-04-07 13:00:00-04:00,170.96,176.84,170.89,176.66,9709636.0
2025-04-07 14:00:00-04:00,176.65,177.22,161.56,174.85,8108848.0
2025-04-07 15:00:00-04:00,174.85,176.41,173.45,175.45,12613685.0
2025-04-07 16:00:00-04:00,175.45,184.3709,164.4786,176.7983,18529201.0
2025-04-08 10:00:00-04:00,182.195,184.9099,180.4,180.62,11084680.0
2025-04-08 11:00:00-04:00,180.63,180.965,177.59,178.36,8429570.0
2025-04-08 12:00:00-04:00,178.3696,178.7886,175.02,175.44,8731170.0
2025-04-08 13:00:00-04:00,175.44,176.3,173.4,175.14,8143311.0
2025-04-08 14:00:00-04:00,175.11,175.57,172.69,172.745,6963154.0
2025-04-08 15:00:00-04:00,172.73,172.98,168.57,171.09,17232750.0
2025-04-08 16:00:00-04:00,171.09,183.7083,162.2753,172.47,16468171.0
2025-04-09 10:00:00-04:00,173.8,175.52,171.01,171.04,11932243.0
2025-04-09 11:00:00-04:00,171.04,173.02,170.13,170.505,8288932.0
2025-04-09 12:00:00-04:00,170.49,172.53,169.93,171.9896,5630312.0
2025-04-09 13:00:00-04:00,172.0,186.37,170.16,186.09,23375960.0
2025-04-09 14:00:00-04:00,186.09,189.14,185.3,186.105,16513664.0
2025-04-09 15:00:00-04:00,186.105,192.65,185.43,190.95,21367619.0
2025-04-09 16:00:00-04:00,190.92,205.0475,174.4993,192.2525,29315804.0
2025-04-10 10:00:00-04:00,184.38,186.8692,182.74,182.815,7600655.0
2025-04-10 11:00:00-04:00,182.815,184.15,179.44,179.495,7211212.0
2025-04-10 12:00:00-04:00,179.48,179.93,175.8518,179.581,9627104.0
2025-04-10 13:00:00-04:00,179.56,182.3533,177.0,181.77,8496656.0
2025-04-10 14:00:00-04:00,181.785,183.2,179.8,181.74,6031635.0
2025-04-10 15:00:00-04:00,181.79,182.97,178.57,181.04,10418822.0
2025-04-10 16:00:00-04:00,181.05,192.9659,170.935,181.075,16050042.0
2025-04-11 10:00:00-04:00,181.33,182.0,178.0,179.37,7162781.0
2025-04-11 11:00:00-04:00,179.35,181.13,178.2,181.04,4867120.0
2025-04-11 12:00:00-04:00,181.0103,184.04,180.09,183.35,5279029.0
2025-04-11 13:00:00-04:00,183.39,184.75,182.0,184.01,5108895.0
2025-04-11 14:00:00-04:00,184.02,184.3112,183.065,183.48,4259922.0
2025-04-11 15:00:00-04:00,183.46,185.86,183.435,184.79,9528128.0
2025-04-11 16:00:00-04:00,184.8,196.6162,172.615,185.04,13281097.0
