title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Hbar Foundation Teams Up With OnlyFans Founder for TikTok Bid: Reuters,HBAR is up 1.5% in the last 24 hours.,2025-04-02T19:10:00Z,CoinDesk,https://www.coindesk.com/markets/2025/04/02/hbar-foundation-teams-up-with-onlyfans-founder-for-tiktok-bid,2025-04-02 19:10:00+00:00,2025-04-02 15:10:00-04:00,2025-04-02 15:00:00-04:00
Amazon targets April 9 launch of first Kuiper internet satellites,"Amazon.com AMZN-Q said on Wednesday it plans to launch the first 27 satellites for its Project Kuiper internet network next week, pinning down a long-awaited start to the company’s plan to deploy a massive constellation that will rival Elon Musk’s Starlink sy…",2025-04-02T19:07:05Z,Biztoc.com,https://biztoc.com/x/6f179ca5a9449e40,2025-04-02 19:07:05+00:00,2025-04-02 15:07:05-04:00,2025-04-02 15:00:00-04:00
Apple leads Magnificent 7 stock drop amid Trump tariffs,"Apple (AAPL) shares were down by 8.4% at the market open on Thursday, leading the decline of Magnificent 7 stocks after President Donald Trump announced “reciprocal tariffs” following the market close on Wednesday.Read more...",2025-04-03T14:35:00Z,Quartz India,https://qz.com/apple-magnificent-7-stocks-fall-trump-reciprocal-tariff-1851774496,2025-04-03 14:35:00+00:00,2025-04-03 10:35:00-04:00,2025-04-03 10:00:00-04:00
"Apple sheds $300 billion in tariff-fueled sell-off, on track for worst drop since March 2020",The tariff-fueled sell-off has erased $800 billion from Magnificent Seven stocks.,2025-04-03T17:57:27Z,Yahoo Entertainment,https://finance.yahoo.com/news/apple-sheds-300-billion-in-tariff-fueled-sell-off-on-track-for-worst-drop-since-march-2020-175727479.html,2025-04-03 17:57:27+00:00,2025-04-03 13:57:27-04:00,2025-04-03 13:00:00-04:00
Citi Reportedly Tells Investors to Buy AMZN Stock on Weakness,"In This Article:
After Amazon (AMZN) initiated a takeover bid for TikTok in the U.S., Citi recommended that investors buy AMZN on weakness, Schwab Network reported today.
Citi believes that AMZN would benefit significantly from acquiring TikTok.
Photo by Aust…",2025-04-03T17:18:16Z,Biztoc.com,https://biztoc.com/x/fc265f1d3a489206,2025-04-03 17:18:16+00:00,2025-04-03 13:18:16-04:00,2025-04-03 13:00:00-04:00
Three ways Big Tech is vulnerable to EU tariff retaliation,"President Donald Trump announced widespread tariffs on Wednesday, sending the stock market plunging. One of the more significant of these tariffs is a 20% levy on goods coming from longtime U.S. ally and trade partner the European Union.Read more...",2025-04-03T18:53:00Z,Quartz India,https://qz.com/how-big-tech-vulnerable-eu-tariff-retaliation-trump-1851774561,2025-04-03 18:53:00+00:00,2025-04-03 14:53:00-04:00,2025-04-03 14:00:00-04:00
"The Magnificent 7 stocks slide again and the Dow drops 1,100 points as China retaliates in trade war","The Magnificent 7 stocks all dropped as the S&P 500, the Nasdaq Composite, and the Dow Jones Industrial Average opened lower after China retaliated against new U.S. tariffs. Shares narrowed pre-market declines after March employment numbers came in better tha…",2025-04-04T14:15:00Z,Quartz India,https://qz.com/mag7-stocks-fall-trade-war-tesla-nvidia-jobs-1851774739,2025-04-04 14:15:00+00:00,2025-04-04 10:15:00-04:00,2025-04-04 10:00:00-04:00
Warren Buffet's market wisdom when stocks fall is all in this 19th century poem,"This week, President Donald Trump’s new tariffs sent shockwaves through the stock market, triggering a sharp sell-off as investors reacted to escalating trade tensions between the U.S. and China. Read more...",2025-04-04T16:35:00Z,Quartz India,https://qz.com/warren-buffet-berkshire-hathaway-trump-tariffs-dow-tech-1851774798,2025-04-04 16:35:00+00:00,2025-04-04 12:35:00-04:00,2025-04-04 12:00:00-04:00
"Retail Investors Pour $4,700,000,000 Into Stock Market in One Day Amid Market Meltdown: JPMorgan Chase","Retail investors are trying to time the market and take advantage of the multi trillion-dollar market meltdown triggered by Trump’s new tariffs. A new note to clients from JPMorgan Chase says mainstreet investors poured $4.7 billion into stocks on Thursday, r…",2025-04-04T17:53:31Z,The Daily Hodl,https://dailyhodl.com/2025/04/04/retail-investors-pour-4700000000-into-stock-market-in-one-day-amid-market-meltdown-jpmorgan-chase/,2025-04-04 17:53:31+00:00,2025-04-04 13:53:31-04:00,2025-04-04 13:00:00-04:00
"Amazon (AMZN) May Face $10B Tariff Hit, But AI Strategy and Vendor Flexibility Offer Cushion",,2025-04-07T18:22:58Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_01892154-7d05-4279-b4ac-bbcb7cf174bc,2025-04-07 18:22:58+00:00,2025-04-07 14:22:58-04:00,2025-04-07 14:00:00-04:00
